Sentence,Category
Azam may feel  Ã°Å¸ËœÂ´  tired  after election  !,CAG
"Gives fake id.. No issue.. N say goodbye to all ths subcidy, n other
benefits..",OAG
"Can BPL be story like symphony....super brand...fallen from top,,,almost bankrupt...rise again and back to glory?",NAG
Nothing wrong in protecting any animal as per indian law but cant admit killing human for the same.,CAG
"This is how they provok for creating religious riot, so my fellow human know this demon fact and stay way",OAG
"@Budha Verma That makes sense. Since she's a magnet for all these crooks, it
would be easier to catch them",NAG
Does this mean Misha is a puppy for Shahid Kapoor?,CAG
When u operate from Delhi and don't take  local grassroot leaders with u....u are bound to get humiliated just like in bihar and Delhi........,OAG
Superb brother,NAG
"Expect investments of over Rs 50,000 cr in logistics: Nitin Gadkari",NAG
The one who always turn out to be opportunist using a student as launchpad against BJP. Rather than being responsible leaders and doing sonething to resolve the issue everyone is busy in slamming each other giving rise to this stupid debate. This issue could have been resolved easlity if evrry one had played their role well. But no one wanted to miss out an opportunity to serve their political propoganda. Shame seriously.,CAG
Cheap!,CAG
Is'nt this a VIP culture..?  a picture depicts a thousand words. .!!,CAG
Aamir Shaikh dont worry we will ensure u remain minority till 2800,CAG
Now digvijay singh is free to another one marry..?keep it up diggi maharaj....?,NAG
If policies of a country are driven by crony-capitalism it increases risk for foreign investors - http://bit.ly/1hSECmb,CAG
Both hindus and muslims need to ignore and isolate people of both religion or any other religion who create hatred on religious grounds,OAG
Its not petrol... Its crime patrol...,NAG
#kejriwals barb against the media proves once again that he is an urban maoist,OAG
"Why are we running behind the West. Although I'm neutral on homosexuality I
find it so sad, it makes me so sad to see my people say accepting
homosexuality takes them towards development and modernity. We should not try
so hard to fit in the west. We are Indian, we should stand back to our own
culture. P.S we are ex British colony so my education was always of English so
I prefer to write in English.",NAG
"@rahulkanwal quite natural hain jee :p...#chakdeindia #indvspak #indwins , kabhi naa tootega yeh, see u on 2019 :p, :)",NAG
Yeah and you bury seculars with salt .... This was your statement? Right ?,OAG
"Black money,terrorist and smuggler all will be wiped out.Off course builders.",OAG
"You canÃ¢â‚¬â„¢t suppress the TRUTH. Roy is an amazing human being who speaks truth.
We have right to express our views",NAG
Play this video on Ãƒâ€”1.5,NAG
Love from barui pur Kolkata West Bengal,NAG
Right Ã°Å¸â€˜Å’ bro,NAG
Plz stop video....Sudawrer puaain...,NAG
Superb guys Ã°Å¸Ëœâ€¦Ã°Å¸Ëœâ€ Ã°Å¸ËœÅ osm,NAG
"demonitisation is the great economic reform ...if it  is not a virtual relaity that is done by media in few  tier 1 ,2,3cities",NAG
What about your well paid jagrata nights ? Many more can be counted under your same forced logic from Bollywood.,OAG
best of luck 2018,NAG
"See the stupidity of indian PM who is worried about summer instead of country 

In the 31st edition of 'Mann Ki Baat', Prime Minister Narendra Modi addressed the nation on a number of topics and issues including VIP culture in our country, bridging the gap between rich and poor, and also encouraging students to try new things during their summer vacations. However, one piece of advice that has really touched a chord with people on social media is PM Modi's suggestion on putting out water for birds and animals this summer. With temperatures soaring across the country, PM Modi suggested children take up this initiative as it will not only help the creatures but also instill empathy in children.",CAG
Nationalise Jet Airways and merge with Air India to restore the glory of Air India that was before UPA emasculated Air India to favour foreign airlines,OAG
Now in UP begin barbathiÃ°Å¸â€Âª Ã°Å¸â€Â¥Ã°Å¸â€Â¥Ã°Å¸â€Â¥Ã°Å¸â€Â¥Ã°Å¸â€™Â¥ specially target to Muslim...,CAG
Truth,CAG
"Now tell the other people commenting,  that there are temples in Kashmir Rahul Sharma",CAG
"Sanghi Mahatma has done nothing but successfully dent UPA image , he has not a word to say against current govt not implementing Lokpal or any other issues but gunning after AK because he left his farcical Sanghi satyagraha to actually go political and do something for people , remember how all political parties were after AK saying that it's easy to shout from outside if you want to make a difference join politics and when he did all started gunning for him",CAG
They asked Yami Gautam to launch the bike - she refused - so they are now trying to get Zeenat Aman....she will come and sing -,CAG
"Meghraj accidents can happen anywhere. Kolkata Traffic Police is doing their best to spread awareness about driving on roads, if people doesn't follow the rules they're responsible for their own accidents, stop blaming the entire Bengal for that.",CAG
Bc pakistan par ek parmanu bam gira kar safaya karo.,CAG
"18+ old can vote .but they are not able to under stand this movie ?.....these
kind of movies should come to make them mature.",NAG
That'S NOT GOOD,NAG
Right right,NAG
"this fellow has lost his mind completely, cant he simply say give quality education to everyone in india.why is he still living in india when he do not know caste in indian terms was occupation,and e termed caste word as antinational going to london, london economists are useless to india,india needs people who can understand india and not insult it",OAG
Homosexuality should be banned,NAG
"forecast: hindustan zindabad hai, zindabad tha aur zindabad rahega and then dhoni uproots stump in sunny deol's style. #indvspak",NAG
Nice video love is love all people have to understand this.,NAG
Finally Ã°Å¸â€Â¥,NAG
u cant please butthurts,OAG
GaNgss Of wassepur Fanss Hit A like....Ã°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€š,NAG
"It's a simple logic guys, villagers or cow owners don't get benefit rearing cows until their natural death, so they had to sell to slaughter house for their benefit, or else left them outside of their own. Who is gonna take care of animals which if of no benefit, and population of cows eventually rises. Do some math guys, think also for those farmers, guys here talking with big mouth does not have those sense of hard work required to rear an animal",CAG
"Pak army is professional army can not violate, even indian army against",CAG
And you are selling it to foreigners..,CAG
You're right.,NAG
"Agreed - Modi and Erdogan, divided by religion, united by fascism! Erdogan has been there for more than 10 years, just in case you find Modi better :)",OAG
"Look at the timing of this BJP & RSS  sponsored man, #ANNAHAZARDOUS just at the brink of MCD Elections...where is his struggle for LOK PAL.. Why no more fasting drama??.#Arvindkejriwal is most hardworking,dedicated and honest politician of our times...His work speaks for him..",OAG
This news will be valueless..  (He could mentioned in Our dream..)Ã°Å¸ËœÂ,CAG
Arun Signal ....using such words barking? Shameful. Very bad.So intolerant?,CAG
Who knows somebody involved there too...Demonetization has back fired very badly...,NAG
"THIS BJP GOVT. SEEMS LAME WHEN IT COMES TO TAKING ACTION AGAINST LEFTIST
LIBTARDS LIKE A.ROY, ITS TIME TO TAKE STRONG ACTION AGAINST DESHDROHI LIKE HER",OAG
13.21 here the best part came.,NAG
PM Modi's top priorities: 'Improve inter-ministerial co-ordination people-oriented government and governance',NAG
bro my phone has inbuilt speed meter,CAG
Hahaha 'Ahmed' ! One can only expect this type of lies coz truth does not suit Ahmeds. Hello do Google and check yourself. It was your Drama Kejri who jouned Anna Hazare movement to come to limelight and then suddenly ditched Anna to form party to fool public of Delhi. So better get the fact right before supporting your CONgress and Drama rogue party. Dont write lies just coz it suits your appeasements.,OAG
#indvspak#won'tgiveitback#100#viratkohli....india india!!!,NAG
Very good actingÃ°Å¸â€˜Å’Ã°Å¸â€˜Å’Ã°Å¸â€˜Å’Ã°Å¸Å’Â¹Ã¢ÂÂ¤Ã¯Â¸Â,NAG
"she was not at fault, it conveyed a very wrong msg or I would say video was
too short that it was not able to cover every aspect.",NAG
thanks bro for support,NAG
Made in russia just painted in india Ã°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€š,CAG
"[16:48](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=16m48s) savage level
100%Ã°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€š",NAG
I would again plead to your acumen...Go beyond what is being shown.. You are being misled.,CAG
Vishal Joshi  Google some crime history of India........there are many examples of partiality in Justice........same crime.... but different punishments,OAG
It's good time for UP.Let he m go to hell,OAG
Congress leaders can talk about everything from Modi to the Gujarat model but have they spoken a word on what they have done for Amethi?,CAG
As u r blaming few as hindus. Similarly the anti national dids of some r termed as muslims. Both needs rectifications,OAG
@ultratechcement #issgamekijaan #indvsuae its gonna be kohli again :),NAG
"leaders never avoid new ideas , they avoid only people do not allow new idea to flourish-john you are one among them",NAG
So you mean Pakistan conducted a surgical strike across the LOC?,OAG
gur meher kaur where r u????? can u tell me who killed our 2 jawans now?????? pakistanis or their guns?????,CAG
"Reading the above report carefully it shows that the age of the mother is 20yrs old and the daughter is 4.. that means she delivered her daughter when she was a teenager herself... no sane pple do that...one is not eligible at 20 to take care of a small child 24*7 ... it's not the norm of today's world... pple want to be free..enjoy life  and not able to do that builds up frustration in them... and then the outcome is this...I know whatever the frustration and choice she made to be a young mother...does not mean she looses her cool to kick the baby..and in the end kill her... sad.... 

Plz pple these are my thoughts... if u don't agree plz feel free to scroll down
...stay happy...",CAG
Byta turkey say jitna marzi kr lyna magar wo Pakistani k liye tumhari maa ko chod sakta gai,OAG
Yes I love boy not lady's,NAG
Terrorism is waging war against the country. Sadhvi Praygya is the prime accused in the 2008 Malegaon blasts that killed nine people. BJP inducting her as a candidate is anti-India politics. From now on the BJP does not have the locus to talk about nationalism,OAG
"People of India want to see reaction of cowardly action, certainly not by words. Enough heard from our leaders.",NAG
"Dude youÃ¢â‚¬â„¢re the only reviewer who could get the essence of this film and itÃ¢â‚¬â„¢s
characters. Those idiots who calls them reviewers and liberals seemed so
foolish and ignorant to even understand the point of whole movie. Their
hypocrisy is open just because of this film.",OAG
no postmartom before december tax shown recoeds..... no fear to bussines man who is ready to do digitalisation now onwards....,CAG
But where it goes off certainly make difference.,CAG
Black money is not a cash money you idiots ... it is the money in swiss banks ... they don't use 500 rupee 1000 rupee,OAG
hahahahaha vryy nyc ..Ã°Å¸â€˜Å’Ã°Å¸â€˜Å’Ã°Å¸Ëœâ€šÃ°Å¸Ëœâ€š,NAG
Congress' appetite for corruption is legendary! From the earth seas till the skies they spared nothing! UP will not accept this any longer,OAG
Tike asa..bro..i like you...,NAG
He think without hard work its easy to get degree from harward u can expect any thing from this man,CAG
She has a crude attitude but she is also a carnivorous .,OAG
Why did Modi avoid speaking in Parliament inspite of repeated insistence by opposition,CAG
"Why this drama Anna ji. Kejriwal started AAP when Other political parties challenged him to enter politics . Inspite of Anna resistance he started the party after an openion poll conducted among
 the public. Bjp tried everything through Kiren bedi and VK Singh  in the name of Anna to spoil  AAP efforts. So his comments have no effect.",OAG
arjun reddy better than kabit singh,NAG
keep those 7 without jumping,NAG
"It's not about Yogi Adityanath. It's about biased media. You should read my reply again. Also, if you Google about what you are saying you will see some follower of his said that. And a follower doesn't define a person. 

Having said that, I am not advocating Yogi, I am against paid media that's just publishing random speculation instead of solid well researched news.",OAG
A person having black money will go to bank or post office and will exhange the notes. Then how does this move going to help curb blackmoney?,CAG
"Mira is justifying herself and her given situation,she can not understand the other side of the picture ie working moms.",CAG
"He shouldn't be in AAP, his politics is suspect I have always seen him as being on the right of the ideological spectrum.  He should be expelled before he one fine  day jumps ship, yes it will be controversial it will lead to bad publicity but AAP can pull together and be more coherent as a party without people whose natural home appears to be the BJP.  I find his views appalling and am absolutely aghast as to why he is in AAP.",OAG
Please tell us your story how you become slave of Modi And BJP,NAG
@Sonal Sony I m from cg n u,NAG
"Arnab is no longer the same anchor he used to be, before Republic TV. I don't
like watching him anymore, very bias news anchor.",NAG
"[13:50](https://www.youtube.com/watch?v=J2J5ssSP5yQ&t=13m50s)  
What a sarcastic explanation Ã°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€š",NAG
"**Well..movies like Super 30 should be encouraged rather than Kabir Singh..I
know Super 30 was also kind of fiction because of Bollywood chutiyappa...but
that movie is 10 thousand times better than Kabir Singh.**",NAG
"Who let the dogs inn, the hospital.. :) . If any chicken comes to your home would you send it back with greeting or would you cook it..",CAG
Darun just super speech,NAG
"Open retaliation is must not commando surgical strike operation .
Direct attack on Pakistan is must and kill 1-2 lac soldiers of Pakistan.",CAG
"Also , mob violence has happened many parts of India even on bike stealers.
So change ur biased mind.",OAG
The why bandh in needed if people doesn't want to attend stupid,CAG
<https://youtu.be/C-lRyevxevA>,NAG
Superb video Pratik Kabir Singh is blockbuster,NAG
"Very well said dude, totally agree.",NAG
Where has that moron who like a parrot repeated the kept media rant about BJP Govt registering a case against Sadhvi. Was she not acquitted of the false charges by Court in 2017?,OAG
"Quite an absurd comment coming from a versatile singer like Sonu Nigam! How can he talk about a prayer being a noise pollutant! Next he will have problem with the sound of mandir bells and blaring Navratri Jagarans! Sorry, but your comments are pathetically bad! Ã°Å¸Ëœâ€˜",OAG
"News Article "" Amit Shah: Modi's man on Friday and forever"" @timesofindia",NAG
They saw a mike and a heated debate broke out. I swear the quality of the arguments were better than those you hear on TV every night. Only in Bihar. Intense passion for politics. Every voter is a pundit. #Madhepura #IndiaElects,NAG
Shame on indian express. I didnt find anything against AK in this video.,OAG
These are organised attack fascist in nature. Modi wants a violent India,OAG
"One thing about Tata nano,zeta,indica all has to come with new platform,new design not on same old platform old taxi cab indica..... design of Tata is problem not product.",NAG
They are eMoTiOns,NAG
U r giving wrong message about gays,NAG
I support the statement. Its doesn't have to be religious every time. I even hate when during durga pujas people put loudspeakers. I remember the time when I had class 12th board exams and one speaker was just beside my room. I used to curse them a lot. People do not speak when a Muslim or a Hindu is dying of hunger or poverty but will now all gang up against sonu nigam. God bless humanity.,CAG
"She said correctly. Hindutva once tried in 1947 and Pakistan and Bangladesh
came into being. This time Khalistan, Assam and few more countries are
expected.",NAG
Bhai u r the realest person I've ever seenÃ°Å¸ËœÂÃ°Å¸ËœÂÃ°Å¸ËœÂÃ°Å¸ËœÂ luv u bro,NAG
"No offence please , Drs and ambulance are for mother cow ,, go to pakistan if have any objection regarding this. Plzzz no offence",CAG
"I did not find anything bad or objectionable, original movie Arjun Reddy is a
very beautiful film. Meaning of actual love. Love is one of the pure and the
strongest thing in the world.",NAG
Pratik bhai please review the Japanese anime Monster created by Naoki Ã°Å¸â„¢ÂÃ°Å¸â„¢Â,NAG
Interesting acrobatics. Disallowed then promised to think a week after. Making laughing stock of an institution? Happy World Laughter Day,CAG
"Dude, please keep your gyan to yourself.

  Don't worry you will get your answers soon enough.

   Stop patronising.",OAG
@coolfunnytshirt best of modi to team india. modi ~ luck #indvspak,NAG
Also israeli passport holders are banned in 17 isalmic countries since 1985 and not media gave a fcuk to it.,OAG
"Gundaraj of Owaisi in Hyderabad. 
Gau rakshaks are kid in front of your islamic organizations like Isis, al Qaeda, lashkare",OAG
Tx to Turkey President. we are capable of handling our internal K issue. our politicians are stalwarts n rich experienced. We suggest try to sit with your kurds in turkey n start negotiating peace with them.,CAG
How by anti romeo squad? Or bashing by goons in the name of religion.,CAG
"Queen ElizabethII
f@cking Indian adore her, coz they still slave of Whites",CAG
New innovative cool,NAG
All those who have Saffron phobia are going rabid drooling and barking. Terrorist sympathizers are preaching us about terrorism we hale courage shown by #SadhviPragya during her torture years she will win with historical margin #Hindu #SaffronTerror @BJP4India @narendramodi,OAG
Superb if normal civilian of India deposits more than 2.5l amount I.t officials may question him but the bail is given to the fraudster who looted thousands of crore loan from banks awesome power and money makes  impossible to possible....,CAG
Mr kaleem you and your people will be the first wishing to get the lucky draw .. any good step u condemn but u are the first one to take advantage of the things,CAG
"Why is he is not going after the big guys who have taken 1.13 lakh crores in loan and have not paid their loans. Ambani, Adani, Malya, Gali Janardhan etc",CAG
Exactly what I felt about the movie!! Ã°Å¸â€Â¥,NAG
Well.. The CM can be goon... But this joker is really a tampon...,OAG
In bog trouble?lol...do some research first,CAG
Are you sure you are a Muslim or you are just fooling people with your false name. But if you really are you are undoubtedly a 'munafiq'. And may you rot in hell.,OAG
"Shivshankar Thakur They have nothing to show,these r low life scums with neither knowledge of history nor any capablity to see stark failures of communism, and dont even get me started on their economic insight a retard has more economic literacy then any commie commenting here. They love china, I think we shud disenfranchise them and send them to china or maybe tibet would be fun watching them die at hands of Peoples army eternal bliss.",OAG
"Idiot, how dare you to call the CM a Goon? Mind your language and try to live like a normal human.",OAG
pakistan me tv fodne lage log #indvspak,NAG
I am not aware of compulsory military training or draft expect during war. in US.,CAG
"good news, now we all can withdraw the useless 2k note which no one has change for, people used to avaid 1k notes due to change issue and now we have 2k notes introduced during a cash crunch .",CAG
Even Justin Bieber didnt get so much hate xD bajaj plx,CAG
waaah dhawan waaah!! keep going man!! #indvspak #iccworldcup2015 #savszim,NAG
RSS agent Anna was & is .,CAG
"That Mrs Indira Gandhi taken permmion from parlament 
That time BJP had 1 seat Janata dal n BJP was against  
East pakistan n west pakistan. If that time you was ap peon in RSS office",CAG
Fool. He first confirm what he stating. The remark of DOG made by Khargae an Congrass leader and not Modi. Any way Azam has told the truth that remarks is not correct and he has to tell it Rahul and Akalish since Azam is reported to be powerful leader of SP in UP which had election alliance with Congrass.,OAG
Okay Intellectual Mafia time to leave India or going to Pakistan as you had vowed. Don't break the promise,CAG
Shiv sena is the least liked political party....and they know it. They are constantly craving for attention. Thats y they make a big scene everywhere.,OAG
So Kabir singh is devdas without consequences.,NAG
"Get well soon sonu and all his supporters ! 
Note:- Indians are secular!  And if any indian behaves so!  like insulting a religion let that be any religion then "" at first note he himself isnt a true indian but a threat to the country where he can make a religious despite and cause religious difference between people and thus a new INDIAN ISI born! #getwellSonu",OAG
"Pakistan is an associate country..Vl be vanished  in 40-50 yrs from now..
Already Gwador port on lease to China for 40 yrs..China slowly building Colony in Pakistan...
Slow poison Vl vanish dem by Chinese..",CAG
Delhi High Court has stayed all disciplinary action against JNU students! Study and Struggle Long Live #StandWithJnu http://www. ndtv.com/india-news/jnu -action-against-kanhaiya-kumar-others-put-on-hold-by-high-court-1405920?pfrom=home-lateststories Ã¢â‚¬Â¦,NAG
Those who talk of the 'institutional collapse' under Modi need to visit a small town police station and courthouse. I just did. So trust me when I tell you these vital cogs in the justice system collapsed long long ago,CAG
Good luck. I am afraid whether it will work or not.,CAG
"What would be your views on HAVELLS, DHFL,ASIAN TILES,AMARAJA BAT?????",NAG
He is only RSS product,CAG
