Sentence,Category
This guy is out of work.  His wife is a khan.  Biwi ki dukaan bhi bnd karaye ga,CAG
"See who is saying this , DId u have taken permission to speakÃƒÂ°Ã…Â¸Ã‹Å“Ã¢â‚¬Å¡",CAG
"Secularism is downstream to only one religion in India....if u bash Hinduism then u r secular but if u bash the other religion then u r simply communal !!! part ur ways, intellectuals or rather creep minds on their way out explaining how they r great and we should accept every religion but y do they forget that it goes the both way for everyone.....y come they rant about Hinduism and then no intellectual vl come out and explain to respect that religion too !!! Its all biased in our country...",OAG
Almost all @BJP4India MPs who face voters tomorrow are seeking vote on two things here on Twitter: 'decisive govt vs coalition' and 'national security'. What about your own individual performances? Does that not count or matter at all? Desperate bunch. #Elections2019,CAG
"Freedom of speech does not mean she'll provoke innocent people to come out and
give them name of Ranga and Billa. I'm amazed who the foolish has given her
the Booker Prize she's not worth it",NAG
"At least we got no isis sh|t here^
Only state with commies ÃƒÂ°Ã…Â¸Ã‹Å“Ã¢â‚¬Å¡",CAG
"The basic question is ""has Pakistan produces somethin other than terrorism"".",OAG
U r right ÃƒÂ°Ã…Â¸Ã¢â‚¬â„¢Ã‚Â¯,NAG
"Dont Blame on Religion.
   India is a religious Country.
   Be careful",CAG
If planned rioters can be CMs & PMs than an MP who has just slapped must not be an issue. The society gets leaders which it deserves. #HinduTaliban,CAG
ÃƒÂ¢Ã¢â€šÂ¬Ã…â€œ@djnoreenkhan: this will be an absolute breeze for india #indvsuaeÃƒÂ¢Ã¢â€šÂ¬Ã‚Âgud job u hav india team in bbc asian network,NAG
"They never admit their crooked deeds.  & don't believe them, they are rogues.",OAG
"Health of sector is improving, but not yet as good as it should be: Nitin Gadkari",NAG
..but govt want to take control over supreme court.. Will lokpal be effective if that happens..,CAG
"Hlo everyone plz like and comment and subscribe my song luk luk ronda
https://youtu.be/VOdq0Yhux7M",NAG
No need now to tell wht kejriwal is like.Now he stands exposed.Everyone knows him now.He is a big con. He will dye his polititical death very soon.A big dramabaz.Aap n kejriwal doesn't even a good funeral.,OAG
"As Yogi Adityanath calls the Army ""Modi's Sena"" & Hindu-Muslim politics erupt in PM's speech Siddharth Kumar son of Pulwama Martyr reminds our politicians ""Our Sena is India's not any Neta's & My Father's Uniform did not know Hindu-Muslim""- From #OnTheRoad2019 in Shamli. Share",CAG
U r so sweet,NAG
"Sonu nigam, shows to be ban, bcoz of noise get pollution that he's creating by his shows...",CAG
Such incidences will increase now .... no other remedy ...,NAG
"""Zombies"" started to ""eat"" each other , okay finish it soon!!!!",CAG
Good decision..from long tym  he is struggling and not performing,CAG
It's not an exit route but exposer route congress- kejari fixing exposed,CAG
"Good decision bipin rawat sir....  
Gay will blow the job of male army...",NAG
"Is that a surgical strike??
If yes , then shame on gvmnt",NAG
Great Move Modi jee u have set another example  king nd its fraternity will always get cake.. Its the foolish 'subjects' who r sufferer. I did not dare to use wird 'citizens'.. Still i will wait for ur move for party money management.. Alasss once more..,CAG
"""@hellocmanq: @narendramodi Stop voting right of Muslims 4 bright future of BJP n make India a Hindu nation Sir."" Scary days ahead?",OAG
"So what is Pak trying to establish? the soldiers fainted and broke their skulls and the hovering vultures and animals pecked off?It only shows the degree of hate for Indians and army, while we unabashedly admire their artists and entertain pak citizens in our soil and call ourselves broadminded, huh!",CAG
"Minimum balance is 5000 to 10k
How it is affordable to rural people?",OAG
Either Cow or muslim can make news and should be punished otherwise its useless news.... leave this noble man,CAG
Why all this hate? Eat wtf you want and get over it. Doesnt our preamble state that we are a secular nation? Where is the secularity now? Chill people.,NAG
Mind blowing videoÃƒÂ¢Ã‚ÂÃ‚Â¤ÃƒÂ¢Ã‚ÂÃ‚Â¤ÃƒÂ¢Ã‚ÂÃ‚Â¤ÃƒÂ¢Ã‚ÂÃ‚Â¤ÃƒÂ¢Ã‚ÂÃ‚Â¤ÃƒÂ¢Ã‚ÂÃ‚Â¤,NAG
"why you guys are reporting to see us , where is the govt officials ? .....from HR",CAG
"Respect, very sad that such kind of good leaders get less exposure in India like Democracy where Bhakts are praying Modi and Shah like goons",OAG
Madhya Pradesh's Public Service Commission gears up for complete automation. Efficiency and transparency will be the hallmark,NAG
Yes dear you right but some people want to do some new even they have dont any limit and sonu nigham is those people ..,OAG
"Will a ""Sita"" be the new CM of house of Ram, re-build the state and status of current corrupt politics. 

A ""Sita"" CM in Dehradun and Lucknow, both ! 

Humanity hope  #Himalaya !",NAG
Guys youtube started streaming it quality much better and angle is also better,NAG
"We mourned the attack on army school by talibans in Pakistan, and you guys are so ruthless that you laugh at someone's death.. This shows how inhumans you people are.. I hope the karma has got something for you guys in the store..",OAG
Buy,NAG
"Sucharita from Not a movie review(you tube channel) and its viewers should
watch this video.",NAG
"Anna Hazare is solely responsible for creating a monster ""Kejriwal"" who has crossed all limits of stupidity.",CAG
We should be happy that such a prominent person has told good things about our country and our PM... Instead we indians get jealous and starts bad mouthing bill gates and our PM...,NAG
"thank you so much call boys understanding some girl not forcing to life
partner",NAG
@ajaymaken pls send Rahulji to Aap Ki Adalat. I will ask him questions being raised by Narendra Modi in public domain. He can come prepared,CAG
Various Assembled Ministries will be transformed into Organic Ministries for quicker pace of work & better coordination between departments,NAG
U r owsm ÃƒÂ°Ã…Â¸Ã‹Å“Ã†â€™,NAG
Fudu man ÃƒÂ°Ã…Â¸Ã¢â‚¬ËœÃ‚Â¨,CAG
"He just created a controversy to be in limelight and coverage otherwise this is as useless as ""EA"" in the word ""TEA""",OAG
BJP got 95% of electoral bonds. BJP leaders got 1800 cr in bribes as per @BSYBJP diaries. A BJP CM carries 1.8cr in convoy for Modiji's rally. A box most likely carrying hard cash unloaded from PM #Modi's chopper. BJP says #HarVoteModiKo but what they mean is #HarNoteModiKo!,OAG
Why is he always poking into affairs of kejriwal??,CAG
giving the movie review of super 30?,NAG
U se bhojpori natak how is ur government work and kind of information Delhi police work in ur government not in Delhi government see the difference between  if people feces problem ur quite now his own life have problems with your government,OAG
"Arshia Ilahi minister and chachas are not soldiers, we should support our army",NAG
"I really likes this movie that he made passion and love for relationship
ÃƒÂ¢Ã‚ÂÃ‚Â¤ÃƒÂ¯Ã‚Â¸Ã‚ÂÃƒÂ¢Ã‚ÂÃ‚Â¤ÃƒÂ¯Ã‚Â¸Ã‚ÂÃƒÂ¢Ã‚ÂÃ‚Â¤ÃƒÂ¯Ã‚Â¸Ã‚ÂÃƒÂ¢Ã¢â€žÂ¢Ã‚Â¥ÃƒÂ¯Ã‚Â¸Ã‚Â",NAG
Guys I meant it sarcastically,NAG
"wat a shameful performance!! this team didn,t even looked like world no 1. it looked like kohli was afraid of the australians while he was batting.",OAG
"PHOENIX- FROM NOW EVERY FEMALE WILL BE LESBIAN AND EVERY MALE WILL BE GAY.
JUST THINK UNIVERSE HAS LAUNCHED THIS SYSTEM THAT MALE-FEMALE MARRIAGE WILL BE
ILLEGALIZED AND GAY MARRIAGE WILL BE LEGALIZED...THIS IS THE NEWEST SYSTEM OF
OUR GALAXY AND THIS VIRGO SUPERCLUSTER (COLLECTION OF 54 DIFFERENT GALAXIES
INCLUDING MILKY WAY). NO SEXUAL CRIME LIKE RAPE OR IVTIZING WILL OCCUR IN THIS
NEWEST SYSTEM... I WISH ALL THE BEST TO EVERY PERSON OF THIS PLANET.",NAG
"The same mistakes when Mr. Vajpayee ji was in power, they paid the price for mocking and humiliating a lady.",CAG
The 2019 Lok Sabha elections saw a pro-incumbency vote. Chemistry prevailed over old-school arithmetic,NAG
Today was the last day of the 15th Lok Sabha. This Lok Sabha has been a memorable one for me. We lost and we won,NAG
Counting will take place on 16th May but today we already have undisputed winners and they are the people of India! http://nm4_in/1nzxTVU,NAG
It's good time for UP.Let he m go to hell,OAG
You are the epitome of realism.,NAG
The holocaust started with writers poets playwrights intellectuals being sent to Dachau,CAG
"jitne wrong kah rhe hn wo sare bi sexual hn.because its prove that all
homophofic are always homosexual",NAG
I m very proud to being a big basket employee,NAG
Agent of bjp,OAG
"Haaaaaaaahaaaaaa. We already know Muslims are slaves, they cannot live their life with their choice, but still they are considereing their self patriotic vow I m happy, make their lives hell",OAG
"Kill those insurgents  n pak  army.....  But where is our  isro satellite  about which we have cried  to d world n compared  with  usa russia n china......  Oh sorry  isro  busy in broadcasting  serial  n  yogi   n defaming a democratic  cm of bengal.....  Why cant we keep a look on small nation  Pakistan..... Whose permission  is waiting  for surgical strike......   Pak  has sended tribals  in kargil war..... 
 U should  send  d gau rakshak n vhp  in pak....  As army follows rule n order...... Jai hind",CAG
Yes I know it is a movie but still it too much even for a genius surgeon,NAG
In UP people voted us due to our Development agenda & against the failing incumbent Govt's misrule #Results2014,OAG
hi.... moni,NAG
Never been a more unequal election in India. 90% money & mainstream media with ruling party. Unprecedented lies & propaganda. All institutions especially the ECI under their control & used blatantly for partisan political purposes. Yet they will lose. People have seen thru & are fed up,OAG
He has got to be much better than this!!! Planning and level headedness need to be introduced.,CAG
Pratik bhai we are with u against liberals,NAG
"Hi iam from Odisha state bhubaneswar 09777070288 I want make friendship with
you and meet with you if you are interested msg me on whatsapp and call me let
see 7 mine",NAG
what a style sirji ;-) !!!! #indvsuae #cwc15 #wewontgiveitback http://t.co/jbageoj7vu,NAG
Does everyone has to sing like this before they buy this bbike ???,CAG
"GST dual control will ruin all your work 
It is a caution 
The tax rate may Increase  5-7%
Which at present you will not agree 
But it will happen if proper checks & balance are kept 

Col lamba",NAG
You saved my dude broÃƒÂ°Ã…Â¸Ã‹Å“Ã¢â‚¬Å¡ÃƒÂ°Ã…Â¸Ã‹Å“Ã¢â‚¬Å¡ÃƒÂ°Ã…Â¸Ã‹Å“Ã¢â‚¬Å¡ÃƒÂ°Ã…Â¸Ã‹Å“Ã¢â‚¬Å¡ÃƒÂ°Ã…Â¸Ã‚Â¤Ã‚Â£ÃƒÂ°Ã…Â¸Ã‚Â¤Ã‚Â£ÃƒÂ°Ã…Â¸Ã‚Â¤Ã‚Â£,NAG
"We in kerala do not have caste system like in the north and we all live in harmony be it Johny,Janardhana or Jafar!! Dont poison our state like UP Maharashtra etc!!",CAG
"team india temper shown to pakistan dandayatra ÃƒÂ°Ã…Â¸Ã‹Å“Ã…Â ÃƒÂ°Ã…Â¸Ã‹Å“Ã¢â€šÂ¬ÃƒÂ°Ã…Â¸Ã‹Å“Ã‚ÂÃƒÂ¢Ã‹Å“Ã‚Âº 1992,1996,1999,2003,2007,2011,2015 #indvspak #cwc2015 http://t.co/eky8paccd5",NAG
"After Modi became PM, these are happening,
1. The economy is going down the drain
2. Pakistan is killing soldiers at its whim
3. Kashmir has returned back to the 1990s
4. Naxals are on rampage.
5. Nepal and Srilanka are now friends of China.
6. Cows safety and medical treatment are more important than our women and children safety
7. Anti national voices have gone up etc",CAG
"You are right, I support your views .",NAG
"There is no action taken against woman, who file false 498a cases, so crime is
the only option left for a sensible Men like him, who was looking for
justice...",NAG
"@akshay Viswambharan intentional meaning of this comment was kabir singh is a
surgeon(Doctor) and he does strange things. ÃƒÂ°Ã…Â¸Ã‹Å“Ã¢â‚¬Å¡",NAG
My family is hardworking unlike your family. They will not take even a paisa for free.,CAG
Only political person and government officer have big black money by way of cash gold property,CAG
Happy Nice,NAG
"What Kangana has said is true. She has demolished the established coterie of the few film makers who don't let the new comers without godfathers or agreeing through casting couch ente

r their domains. Karan couldn't bully Raj Thakrey but Kangana . It just like Modi's demolishing of the family's rule in the political field. He is uprooting the well dug family Bhakats like Ayers, Sibals, Khurshids, paid family historians, pliable and paid media and many more.",OAG
Really nice analysis as always ÃƒÂ°Ã…Â¸Ã‹Å“Ã‚Â,NAG
This guy obviously voted for Modi now let him repent at leisure,CAG
Does this mean Misha is a puppy for Shahid Kapoor?,CAG
While we do not speak ill of those lose their life in a battle to save the nation we equally are compassionate of a woman subject the utter physical humiliation and loss of self dignity in the name of getting a fixed confession you they Govt wants,NAG
"Of course she is afraid of showing documents that people will know that she is
Suzanne and not Arundhati. It's like story of cat who lost its tail and
preaching other cats to cut their tails. (People who bark that she is not
Suzanne ask her to show her documents ÃƒÂ°Ã…Â¸Ã‹Å“Ã¢â‚¬Âº)",NAG
"Lol... You accepted surgical strike done by Pak Army by yourselves, we don't need to claim. ÃƒÂ°Ã…Â¸Ã‹Å“Ã¢â‚¬Å¡",NAG
True this hazard wakes only when bjp is going for elections,OAG
All done 377,NAG
Nice acting guys mind blowing,NAG
what abt my right as a general,CAG
Feminism is cancer,OAG
she should be in jail,NAG
bashir uddin good,NAG
@thisisprashanth : Congresspersons should target the others. Are you a genetic clone of Mani Shankar Aiyar?,CAG
No work make this men a nonsense to our society,CAG
Yes.nice conversation.she is a very goos business conversation anchor with ample analytical knowledge figures @ fingers tips,NAG
When you vote on the 23rd remember that a vote for Congress DMK and Muslim League is a vote for higher taxes and lower development. A vote for them is a vote which will give a free hand to terrorists. A vote for them will mark the rise of criminal elements in politics: PM,OAG
Best review.,NAG
YOGI ADITYANATH is a good option a young n fearful LEADER better than Rajnath Singh,OAG
"Oh rss is antisecular,and aimim is secular,even if it fights for election with anti Hindu agenda,hats off to cpm",CAG
I thank colleagues of the BJP and NDA for placing their faith in me and electing me to lead the NDA in Parliament. We will work together as a team and contribute to India's development trajectory,NAG
"Union Minister Manoj Sinha threatens detractors in Ghazipur says anyone who points a finger towards his workers & eyes that look menacingly ""will not exist!"" ""Detractors will be taken care of in 4 hours.""",OAG
"Dear patriots, the very fact that such people hate India is a sign that we are
doing something right.",NAG
Best film for sahid Kapoor,NAG
#NAME?,NAG
You have your way. I have my way. As for the right way the correct way and the only way it does not exist. - Friedrich Nietzsche,NAG
"@mohammed anna brother the personality that he possessed in the clg topper of
d university clg ,clg football team captain nd anger no junior dare to stand
against him nd the scene totally supports his character in d movie",NAG
"I don't think the hero is an escapist ,  
He faces the court and tell truth.  
He accepts his deeds and faces the punishment.  
He moved on and give up his bad habits after his grandmother's death but not
for the girl.",NAG
"Lotous come out from mud but it is expected it must be shunned the stink of
mud.",NAG
PM Modi Asks Ministers to Fix 100-Day Agenda Lists Top 10 Priorities,NAG
'Won't give Muslims tickets as they don't believe in us': Karnataka BJP leader,OAG
Awesome..,NAG
Hope u get well soon. My wishes for u. I got it there's no point wasting my time to make u understand anything. All the best buddy.,CAG
Is EVMs not tampered here? Rahul pl answer.,CAG
kaisa hai launday ..,NAG
i have 400 share BOB @RS.163 ( what about BOB hold or sell ),NAG
"In Indian Candidate Hindu Right Sees a Reawakening http://nyti_ms/1g8rRcM. As Americans say: ""The chickens are coming home to roost""",CAG
Says the man who stole all the ideas from Tesla,OAG
Hahaha 'Ahmed' ! One can only expect this type of lies coz truth does not suit Ahmeds. Hello do Google and check yourself. It was your Drama Kejri who jouned Anna Hazare movement to come to limelight and then suddenly ditched Anna to form party to fool public of Delhi. So better get the fact right before supporting your CONgress and Drama rogue party. Dont write lies just coz it suits your appeasements.,OAG
Once a surrendered brain always a surrendered brain,OAG
"This Marxist ideology caused cumulative death of 100 million People in USSR, China, Vietnam, North Korea and other countries worldwide in past 200 years.",CAG
Stand with jnu #standwithjnu #queer #supporter #spread the #word https:// twitter.com/akhilkatyal/st atus/729599936338268160 ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¦,NAG
The prospect of Narendra Modi leading an anti-terror movement should be a disquieting thought for even the most complacent,CAG
Almost daily,CAG
Don't go digital if you wish  kaleem....  We can drag a horse to river but can't make it drink water... Same is with you...,CAG
That's what I wanted to say ...,NAG
Super,NAG
Kya bakwaas hai ye. Shastri conspiracy theory film! Agreed you're a propaganda peddler but making a saas-bahu-serial-like dinner table debate and calling it a 'film'? Spare us. Also criminal waste of a bunch of fabulous actors. #TheWhataboutryFiles,OAG
nice teps,NAG
"Had she been married to a service man, she wouldn't have given such a stupid statement. As they say, early marriage doesn't give you working brains.",OAG
People have their own opinion regarding opinion polls.,NAG
duplicate kohli.. out ho ja yar #indvspak,NAG
One of the best video of your channel.,NAG
Pig and nothing else flop actress and sona is so boaring monkey,NAG
Shahid is best 300cr blockbuster movie,NAG
"Hypocrisy at its best
She has never blamed Mahesh Bhatt  of nepotism for casting emraan in all the movies made under his banner
He  on the other hand runs a pathetic show which shows gossiping rich people without any
Connect with the issues of the society

So pls don't feel bad
U never know this might be a publicity stunt for one of their upcoming films",OAG
No 2 Crore JOBS. No 15 Lakhs in Bank A/C. No ACCHE DIN. Instead: No JOBS. DEMONETISATION. Farmers in Pain. GABBAR SINGH TAX. Suit Boot Sarkar. RAFALE. Lies. Lies. Lies. Distrust. Violence. HATE. Fear. You vote today for the soul of India. For her future. Vote wisely,OAG
"Actually the United States committed a crime by declaring war against England,and the Church of England was the established faith,so yes it was a Christian nation but the atheist,secularist and so on would like you to believe and think differently regarding our historical facts",NAG
Waiting for book,NAG
"Why so, you need lakh of Rs to have descent dinner. Don't you people use cards or don't know how to use cards. Idiots!",OAG
'Class 12 pass' and education minister? No. Madhu Kishwar tells Smriti Irani http://firstpost.com/,CAG
Sandeep Bhardwaj What you miss out are the changes brought out in the original draft of GST for acceptance by all party. Congress was trying to shove it down the throats their draft proposal without discussion.,NAG
Why the govt is allowing her to spread hatred against India ?,NAG
Shame on dirty and jealous politicians..,OAG
